"Status";"Add.";"SNAdd.";"BN";"LD";"DoC"
"887";" Open / Normal ";" Seoul Jungnang-gu Mukdong 244-151";" Seoul Jungnang-gu 881 Dongil-ro ( Muk-dong )";" Beoma Gas Station ";1993-12-08;NA
"888";" Open / Normal ";" Seoul Songpa-gu Seokchon-dong 210-16";" Seoul Songpa-gu 50 Samhaksa- ro ( Seokchon -dong )";" GS E &Alsongpa Jeil Gas Station Co., Ltd. ";1993-12-10;NA
"889";" Open / Normal ";" Seoul Songpa-gu Bangi-dong 109-6";" Seoul Songpa-gu 143 Ogeum-ro ( Bangi-dong )";" Baekje Gobun-ro Self-Gas Station ";1993-12-10;NA
"890";" Open / Normal ";" Seoul Songpa-gu Bangi-dong 149-3";" Seoul Songpa-gu 474 Baekje Gobun-ro ( Bangi-dong )";" limited company Horim Plus Holdings Namseong Gas Station ";1993-12-10;NA
"891";" Closed ";" Seoul Metropolitan City Songpa-gu Garak-dong 146-6";" Seoul Songpa-gu 154 Jung-daero ( Garak-dong )";" Directly managed by HD Hyundai Oilbank Co. , Ltd. Seowon Gas Station ";1993-12-10;"2023-06-07"
"892";" Closed ";" Seoul Metropolitan City Songpa-gu Garak-dong 123-4 ";" Seoul Songpa-gu 146 Jungdae- ro ( Garak-dong )";"GS Caltex Direct Seomun Branch ";1993-12-10;"20090212"
"893";" Closed ";" Seoul Metropolitan City Seongbuk-gu 23-35 Sangwolgok-dong ";" Seoul Seongbuk-gu 180 Hwarang-ro ( Sangwolgok-dong )";" New Millennium Gas Station ";1993-12-11;"20140903"
"894";" Open / Normal ";" Seoul Eunpyeong-gu Nokbeon-dong 154-1";" Seoul Eunpyeong-gu 41 Seooreung-ro ( Nokbeon-dong )";" Elephant Gas Station ";1993-12-13;NA
"895";" Open / Normal ";" Seoul Metropolitan City Yangcheon-gu Sinwol-dong 199-5 ";" Seoul Yangcheon-gu 408 Nambusunhwan-ro ( Sinwol-dong )";" Shinwol-dong Gas Station ";1993-12-14;NA
"896";" Closed ";" Seoul Metropolitan City Dobong-gu Changdong 731-19";" Seoul Dobong-gu 596 Dobong-ro ( Changdong )";" Hanyi Energy Co., Ltd. KLP No. 1 Gas Station ";1993-12-14;"20220331"
"897";" Open / Normal ";" Seoul Metropolitan City Yongsan-gu Wonhyo-ro 3- ga 43-3 ";" Seoul Yongsan-gu 147 Wonhyo-ro ( Wonhyo-ro 3 -ga )";"( Co .) Shintaeseong Gas Station ";1993-12-15;NA
"898";" Closed ";" Seoul Metropolitan City Yongsan-gu 40-15 Hangang-ro 3- ga ";" Seoul Yongsan-gu 37 Hangang-daero ( Hangang-ro 3- ga )";" Yongil Gas Station ";1993-12-15;"20200110"
"899";" Closed ";" Seoul Metropolitan City Yongsan-gu 212-1 Ichon-dong ";" Seoul Yongsan-gu 16 Ichon-ro ( Ichon-dong )";" Booyoung Gas Station ";1993-12-15;NA
"900";" Closed ";" Seoul Metropolitan City Gwanak-gu Bongcheon-dong 1595-9 ";" Seoul Gwanak-gu 106 Gwanak-ro ( Bongcheon-dong )";" Seoul National University Gas Station ";1993-12-15;"20110620"
"901";" Closed ";" Seoul Metropolitan City Gangdong-gu Cheonho-dong 450 ";" Seoul Gangdong-gu 1065 Cheonho-daero ( Cheonho-dong )";" LG Caltex Oil Refining Co. , Ltd .";1993-12-15;"19951213"
"902";" Open / normal ";" Seoul Dongdaemun-gu Jangan-dong 466-8";" Seoul Dongdaemun-gu 453 Cheonho-daero ( Jangan-dong )";" Directly managed by HD Hyundai Oilbank Co. , Ltd. Speed Gas Station ";1993-12-16;NA
"903";" Closed ";" Seoul Metropolitan City Dongdaemun-gu 92-67 Sinseol-dong ";" Seoul Dongdaemun-gu 431 Cheonggyecheon-ro ( Sinseol-dong )";" Neungju Gas Station ";1993-12-16;"20210707"
"904";" Closed ";" Seoul Metropolitan City Dongdaemun-gu Jangan-dong 466-8 ";NA;"SK Speed Gas Station ";1993-12-16;"20000101"
"905";" Closed ";" Seoul Metropolitan City Dongdaemun-gu Yongdu-dong 255-51 52 ";NA;" Yuhwa Gas Station ";1993-12-16;"20000101"
"906";" Closed ";" Seoul Metropolitan City Dongdaemun-gu Jangan-dong 466-11 12 ";NA;" Dongbu Gas Station ";1993-12-16;"20120320"
"907";" Closed ";" Seoul Metropolitan City Dongdaemun-gu Yongdu-dong 255-66 ";NA;" Daewon Gas Station ";1993-12-16;"20000101"
"908";" Closed ";" Seoul Metropolitan City Eunpyeong-gu 88-8 Eungam-dong ";" Seoul Eunpyeong-gu 123 Eunpyeong-ro (Eungam -dong )";" Mart gas station ";1993-12-16;"20120601"
"909";" Cancel / Expunge / Expire / Suspension / Stop ";" Seoul Metropolitan Government Gangdong-gu Gil-dong 348-6 ";" Seoul Gangdong-gu 1504 Yangjae-daero ( Gil-dong )";" Daesung Gas Station ";1993-12-16;NA
"910";" Closed ";" Seoul Metropolitan City Gangdong-gu Cheonho-dong 458-3 ";" Seoul Gangdong-gu 987 Cheonho-daero ( Cheonho-dong )";" Ell County Co. , Ltd. ( Cheondong Gas Station )";1993-12-16;"20190226"
"911";" Closed ";" Seoul Metropolitan City Gangdong-gu Seongnae-dong 13-9,10 ";" Seoul Gangdong-gu 1044 Cheonho-daero ( Seongnae-dong )";" LG Caltex Oil Refinery Co. , Ltd. Mugunghwa Gas Station ";1993-12-16;NA
"912";" Open / Normal ";" Seoul Seongbuk-gu Seokgwan-dong 174-1 ";" Seoul Seongbuk-gu 292 Hwarang-ro ( Seokgwan-dong )";" Our gas station ";1993-12-17;NA
"913";" Closed ";" Seoul Metropolitan City Seocho-gu Seocho-dong 1604-21";" Seoul Seocho-gu 327 Hyoryeong-ro ( Seocho-dong )";" Clover Gas Station ";1993-12-17;"20220426"
"914";" Closed ";" Seoul Metropolitan City Gangnam-gu Nonhyeon-dong 201-14 ";" Seoul Gangnam-gu 107 Bongeunsa-ro ( Nonhyeon-dong )";" Seongwon Gas Station ";1993-12-19;"20140401"
"915";" Closed ";" Seoul Metropolitan City Guro-gu 437-1 Sindorim-dong ";" Seoul Guro-gu Gyeongin-ro 59- gil 8 ( Sindorim-dong )";" Shinheung Gas Station ";1993-12-20;NA
"916";" Open / Normal ";" Seoul Yangcheon-gu Mokdong 516-1";" Seoul Yangcheon-gu 648 Gonghang-daero ( Mokdong )";" Directly managed by HD Hyundai Oilbank Co. , Ltd. Mokdong Self Gas Station ";1993-12-21;NA
"917";" Closed ";" Seoul Metropolitan City Yangcheon-gu Sinjeong-dong 1287-3 ";" Seoul Yangcheon-gu 640 Nambusunhwan-ro ( Sinjeong-dong )";" Hanyang Gas Station ";1993-12-21;"20141031"
"918";" Closed ";" Seoul Metropolitan City Yangcheon-gu Sinjeong-dong 296-31 ";" Seoul Yangcheon-gu 1 Sinmok-ro 7- gil ( Sinjeong- dong )";" Directly managed by Hyundai Oilbank Co. , Ltd. Korea Gas Station ";1993-12-21;"20210728"
"919";" Open / Normal ";" Seoul Gangseo-gu Gayang-dong 272-31 ";" Seoul Gangseo-gu 311 Yangcheon-ro ( Gayang-dong )";" Sewonje 1 Gas Station ";1993-12-21;NA
"920";" Open / Normal ";" Seoul Gwanak-gu Yurim Gas Station , 112-47 Sillim-dong ";" Seoul Gwanak-gu 176 Sillim-ro , Yurim Gas Station ( Sillim-dong )";" Yurim Gas Station ";1993-12-23;NA
"921";" Closed ";" Seoul Metropolitan City Jungnang-gu 411-8 Mangu-dong Main Branch ";" Seoul Jungnang-gu 474 Yongmasan-ro ( Mangu-dong , head office )";" Onyu Dairy Co., Ltd. " ;1993-12-23;NA
"922";" Closed ";" Seoul Metropolitan City Gwanak-gu Bongcheon-dong 883-12 ";" Seoul Gwanak-gu 1780 Nambusunhwan-ro ( Bongcheon-dong )";" Seoul National University Station Gas Station ";1993-12-23;"20130328"
"923";" Open / Normal ";" Seoul Metropolitan City Gwanak-gu Sillim-dong 507-24";" Seoul Gwanak-gu 1515 Nambusunhwan-ro ( Sillim-dong )";" CJ Logistics Co., Ltd .";1993-12-23;NA
"924";" Closed ";" Seoul Metropolitan City Seongdong-gu Seongsu-dong 2- ga 281-7 ";" Seoul Seongdong-gu 310 Gwangnaru-ro ( Seongsu-dong 2- ga )";" Hwayang gas station ";1993-12-27;NA
"925";" Open / Normal ";" Seoul Gwangjin-gu Junggok-dong 186-6";" Seoul Gwangjin-gu 435 Dongil -ro ( Junggok-dong )";" Directly managed by HD Hyundai Oilbank Co. , Ltd. Junggok Hyundai Gas Station ";1993-12-27;NA
"926";" Closed ";" Seoul Metropolitan City Gwangjin-gu 74-1 Guui-dong ";" Seoul Gwangjin-gu 680 Cheonho-daero ( Guui -dong )";" Grand Park Gas Station ";1993-12-27;NA
"927";" Open / Normal ";" Seoul Seongdong-gu Hawangsimni-dong 291-9";" Seoul Seongdong-gu 454 Cheonggyecheon-ro ( Hawangsimni-dong )";" To Cheonggye gas station ";1993-12-27;NA
"928";" Open / Normal ";" Seoul Metropolitan City Dongjak-gu Sangdo-dong 190-1";" Seoul Dongjak-gu 139 Sangdo-ro ( Sangdo-dong )";" Maeil Gas Station ";1993-12-28;NA
"929";" Open / Normal ";" Seoul Gangnam-gu Samseong-dong 38-21";" Seoul Gangnam-gu 433 Bongeunsa-ro ( Samseong-dong )";" Corporation Manjeong Energy ";1993-12-29;NA
"930";" Open / Normal ";" Seoul Gangnam-gu Nonhyeon-dong 221-15";" Seoul Gangnam-gu 640 Nonhyeon-ro ( Nonhyeon-dong )";" limited liability company Dongha Petroleum ";1993-12-29;NA
"931";" Open / Normal ";" Seoul Metropolitan City Seongbuk-gu Jangwi-dong 43-12";" Seoul Seongbuk-gu 612 Hancheon-ro ( Jangwi-dong )";" Jangsam Twins gas station ";1993-12-29;NA
"932";" Closed ";" Seoul Metropolitan City Seocho-gu Seocho-dong 1460-21 ";" Seoul Seocho-gu 33 Banpo-daero ( Seocho-dong )";" Seocho Hyundai Gas Station directly managed by Hyundai Oilbank Co., Ltd. ";1993-12-29;"20190725"
"933";" Closed ";" Seoul Metropolitan City Seocho-gu Bangbae-dong 936-12 ";" Seoul Seocho-gu 151 Bangbae- ro ( Bangbae-dong )";" Daesinseong Energy Co., Ltd. ";1993-12-29;"20181201"
"934";" Closed ";" Seoul Metropolitan City Seocho-gu Seocho-dong 1449-9 ";" Seoul Seocho-gu 58 Banpo-daero 4- gil ( Seocho-dong )";" Tiger Oil Co. , Ltd. Seocho Gas Station ";1993-12-29;NA
"935";" Open / Normal ";" Seoul Seocho-gu 765-8 Bangbae-dong ";" Seoul Seocho-gu 206 Dongjak-daero ( Bangbae-dong )";" GS Caltex Co., Ltd. Seoncheon Gas Station ";1993-12-29;NA
"936";" Closed ";" Seoul Metropolitan City Gangnam-gu Dogok-dong 946-1 ";" Seoul Gangnam-gu Gangnam-daero 284 ( Dogok-dong )";" Samho Gas Station ";1993-12-29;NA
"937";" Closed ";" Seoul Metropolitan City Gangnam-gu Cheongdam-dong 53-5 ";" Seoul Gangnam-gu 546 Dosan-daero ( Cheongdam-dong )";" Rivera Gas Station ";1993-12-29;"20070817"
"938";" Closed ";" Seoul Metropolitan City Gangnam-gu Yeoksam-dong 733-20 ";" Seoul Gangnam-gu 227 Yeoksam- ro ( Yeoksam-dong )";" Seojin Gas Station ";1993-12-29;NA
"939";" Closed ";" Seoul Metropolitan City Gangnam-gu Yeoksam-dong 652-2 ";" Seoul Gangnam-gu 222 Bongeunsa- ro (Yeoksam-dong )";"SK Seogwang Green Gas Station ";1993-12-29;"20180213"
"940";" Closed ";" Seoul Metropolitan City Gangnam-gu Cheongdam-dong 132-9";" Seoul Gangnam-gu 716 Yeongdong- daero (Cheongdam-dong )";" Juseong R&D Co., Ltd. " ;1993-12-29;"20220330"
"941";" Open / Normal ";" Seoul Metropolitan City Dongdaemun-gu Jangan-dong 387-1";" Seoul Dongdaemun-gu 258 Dapsimni-ro ( Jangan-dong )";" Samyoung Gas Station ";1993-12-30;NA
"942";" Open / Normal ";" Seoul Jungnang-gu Myeonmok-dong 155-57";" Seoul Jungnang-gu 654 Dongil-ro ( Myeonmok-dong )";" Hanwha Mi Co., Ltd. Gudo Il Gas Station Dongcheon ";1993-12-30;NA
"943";" Open / Normal ";" Seoul Gangseo-gu Yeomchang-dong 263-8 ";" Seoul Gangseo-gu 720 Yangcheon-ro ( Yeomchang-dong )";" Yeomchang-dong gas station ";1993-12-30;NA
"944";" Closed ";" Seoul Metropolitan City Geumcheon-gu 903-3 Siheung-dong ( 503 Siheung-daero ) ";" Seoul Geumcheon-gu 184 Siheung-daero ( Siheung-dong )";"SK Geumcheon Gas Station ";1993-12-30;"20140731"
"945";" Closed ";" Seoul Metropolitan City Geumcheon-gu 1041-24 Doksan-dong ( 161 Doksandong-gil ) ";" Seoul Geumcheon-gu 208 Doksan-ro ( Doksan-dong )";" Doksan Jeil Gas Station ";1993-12-30;"20090528"
"946";" Cancel / Expunge / Expire / Suspension / Stop ";" Seoul Metropolitan Government Gangnam-gu Gaepo-dong 1163-2 ";" Seoul Gangnam-gu 12 Nonhyeon- ro ( Gaepo-dong )";" Korea Petroleum ";1993-12-30;NA
"947";" Closed ";" Seoul Metropolitan City Songpa-gu Samjeon-dong 9-8 ";" Seoul Songpa-gu 229 Baekje Gobun-ro ( Samjeon-dong )";" limited company Few check Songpa Alchan Gas Station ";1993-12-30;"20220203"
"948";" Closed ";" Seoul Metropolitan City Gangdong-gu Seongnae-dong 550 ";" Seoul Gangdong-gu 32 Seongnae-ro ( Seongnae-dong )";" Directly managed by SK Networks Co. , Ltd. Hanmi Gas Station ";1993-12-30;"20180701"
"949";" Open / Normal ";" Seoul Guro-gu Onsu-dong 35-3";" Seoul Guro-gu 41 Gyeongin-ro ( Onsu-dong )";" C&S Distribution Co. , Ltd. Guro Dream Gas Station ";1993-12-30;NA
"950";" Open / Normal ";" Seoul Dobong-gu Changdong 744";" Seoul Dobong-gu Madelo 574 ( Changdong )";" Far East Petrochemical Co. , Ltd. Daean Gas Station ";1993-12-31;NA
"951";" Open / Normal ";" Seoul Gangbuk-gu Beondong 410-94 95";" Seoul Gangbuk-gu 963 Hancheon-ro ( Beon-dong )";" Directly managed by HD Hyundai Oilbank Co. , Ltd. Beon-dong self-service gas station ";1993-12-31;NA
"952";" Open / Normal ";" Seoul Metropolitan City Gangbuk-gu Mia-dong 746-3 879-5";" Seoul Gangbuk-gu 217 Samyang- ro ( Mia-dong )";"SK Energy Co. , Ltd. Maeil Gas Station ";1993-12-31;NA
"953";" Closed ";" Seoul Metropolitan City Dobong-gu Ssangmun-dong 507-43 ";" Seoul Dobong-gu 594 Samyang-ro ( Ssangmun-dong )";" Shinhwa Trading Co. , Ltd. Shinhwaje 2 Gas Station ";1993-12-31;"20140611"
"954";" Closed ";" Seoul Metropolitan City Yeongdeungpo-gu Dorim-dong 71-1 ";NA;" Gangseo Gas Station ";1994-01-03;NA
"955";" Closed ";" Seoul Metropolitan City Gwanak-gu Sillim-dong 406-6 ";" Seoul Gwanak-gu 183 Sillim- ro ( Sillim-dong )";"SK Networks Co. , Ltd. Seoul Self-Service Gas Station ";1994-01-05;"20190410"
"956";" Closed ";" Seoul Metropolitan City Seongdong-gu Yongdap-dong 229-2 ";" Seoul Seongdong-gu 384 Cheonho-daero ( Yongdap- dong )";" Myeongseong Gas Station ";1994-01-11;"20171122"
"957";" Closed ";" Seoul Metropolitan City Gwangjin-gu Guui-dong 251-34 ";" Seoul Gwangjin-gu 138 Jayang-ro ( Guui-dong )";" Seongdong Gas Station ";1994-01-11;NA
"958";" Closed ";" Seoul Metropolitan City Yeongdeungpo-gu Singil-dong 4435 ";" Seoul Yeongdeungpo-gu Yeouidaebang-ro 81-2 ( Singil-dong )";" Samwoo Dairy ";1994-01-11;"20070829"
"959";" Closed ";" Seoul Metropolitan City Dobong-gu Changdong 578-56 ";" Seoul Dobong-gu Deokneung-ro 59 Ga-gil 52 ( Changdong )";" Good Morning Boss ";1994-01-12;"20131110"
"960";" Closed ";" Seoul Metropolitan City Songpa-gu Samjeon-dong 33-3 ";" Seoul Songpa-gu Samjeon-ro 42 ( Samjeon-dong )";" Hanbit Gas Station ";1994-01-12;NA
"961";" Open / Normal ";" Seoul Yeongdeungpo-gu 70-1, Singil-dong ";" Seoul Yeongdeungpo-gu 399 Yeongdeungpo-ro ( Singil-dong )";" GS E&R Co. , Ltd. Bora Gas Station ";1994-01-13;NA
"962";" Open / Normal ";" Seoul Yeongdeungpo-gu Yeouido-dong 17-2";" Seoul Yeongdeungpo-gu 746 Gukhoe-daero ( Yeouido-dong )";" National Assembly gas station ";1994-01-13;NA
"963";" Open / Normal ";" Seoul Yeongdeungpo-gu Yeouido-dong 13-11";" Seoul Yeongdeungpo-gu 794 Gukhoe-daero ( Yeouido-dong )";"KH Yeouido Gas Station directly managed by KH Energy Co. , Ltd. ";1994-01-13;NA
"964";" Open / Normal ";" Seoul Yeongdeungpo-gu Dangsan-dong 121-106";" Seoul Yeongdeungpo-gu 111 Beodeunaru-ro ( Dangsan-dong )";" Bird Narutgil Gas Station ";1994-01-13;NA
"965";" Closed ";" Seoul Metropolitan City Yeongdeungpo-gu Yeouido-dong 17-2 ";NA;"SK Global Co. , Ltd. Gyeongil Gas Station ";1994-01-13;NA
"966";" Closed ";" Seoul Metropolitan City Yeongdeungpo-gu Daerim-dong 912-10 ";" Seoul Yeongdeungpo-gu 29 Singil-ro ( Daerim-dong )";" Daeyoung Gas Station ";1994-01-13;"20171211"
"967";" Closed ";" Seoul Metropolitan City Yeongdeungpo-gu 70-1 Singil-dong ";NA;" Bora Gas Station ";1994-01-13;NA
"968";" Closed ";" Seoul Metropolitan City Yeongdeungpo-gu Yeouido-dong 13-11 ";NA;" Hyundai Oil Refining Co. , Ltd. Yeouido Hyundai Gas Station ";1994-01-13;NA
"969";" Closed ";" Seoul Metropolitan City Yeongdeungpo-gu Daerim-dong 667-9 ";NA;"SK Winwin Gas Station ";1994-01-13;NA
"970";" Closed ";" Seoul Metropolitan City Yeongdeungpo-gu Singil-dong 4268 ";" Seoul Yeongdeungpo-gu Yeouidaebang-ro 113 ( Singil-dong )";" Woosung Gas Station ";1994-01-13;"20110627"
"971";" Closed ";" Seoul Metropolitan City Yeongdeungpo-gu Yeouido-dong 13-11 ";NA;" Hyundai Oil Refining Co. , Ltd. Yeouido Hyundai Gas Station ";1994-01-13;NA
"972";" Closed ";" Seoul Metropolitan City Yeongdeungpo-gu Dorim-dong 71 ";" Seoul Yeongdeungpo-gu 151 Dosin-ro ( Dorim-dong )";" Gangseo Gas Station ";1994-01-13;NA
"973";" Closed ";" Seoul Metropolitan City Dongjak-gu Daebang-dong 417-3 ";" Seoul Dongjak-gu 134 Yeouidaebang- ro ( Daebang-dong )";"SK Global Co., Ltd. Daedong Gas Station ";1994-01-13;NA
"974";" Open / Normal ";" Seoul Gangnam-gu 503-1, Sinsa-dong ";" Seoul Gangnam-gu 640 Gangnam-daero ( Sinsa-dong )";" Daekyo Gas Station ";1994-01-21;NA
"975";" Closed ";" Seoul Metropolitan City Gangnam-gu 588-18 Sinsa-dong ";" Seoul Gangnam-gu 223 Dosan-daero ( Sinsa-dong )";" Dosan Park Gas Station ";1994-01-21;NA
"976";" Closed ";" Seoul Metropolitan City Seongdong-gu Yongdap-dong 236-4 ";" Seoul Seongdong-gu 454 Cheonho-daero ( Yongdap- dong )";" Buhyeon Gas Station ";1994-01-25;NA
"977";" Open / Normal ";" Seoul Jungnang-gu Myeonmok-dong 175-1";" Seoul Jungnang-gu 627 Dongil-ro ( Myeonmok-dong )";" Myeonmok self gas station ";1994-01-27;NA
"978";" Closed ";" Seoul Metropolitan City Dobong-gu 706-7 Banghak-dong ";" Seoul Dobong-gu 696 Dobong-ro ( Banghak-dong )";" DK BMC Co., Ltd. Daegyeong Gas Station ";1994-01-29;"20150428"
"979";" Closed ";" Seoul Metropolitan City Yangcheon-gu Sinwol-dong 540-10 ";" Seoul Yangcheon-gu Nambusunhwan-ro 77- gil 9 ( Sinwol-dong )";" Daesung Energy ";1994-01-31;"20180703"
"980";" Closed ";" Seoul Metropolitan City Dongdaemun-gu Yongdu-dong 36-2 ";NA;" Dongseong Gas Station ";1994-02-01;NA
"981";" Closed ";" Seoul Metropolitan City Yeongdeungpo-gu Singil-dong 1821 ";" Seoul Yeongdeungpo-gu 554 Gamasan-ro ( Singil-dong )";" Shinpyeonghwa Gas Station ";1994-02-02;"20161202"
"982";" Closed ";" Seoul Metropolitan City Yangcheon-gu Mokdong 715-2 ";" Seoul Yangcheon-gu 82-4 Mokdong Jungangnam-ro ( Mok-dong )";" Daewon Petrochemical ";1994-02-05;"20210916"
"983";" Open / Normal ";" Seoul Gangnam-gu 563-10, Sinsa-dong ";" Seoul Gangnam-gu 163 Dosan-daero ( Sinsa-dong )";" Directly managed by HD Hyundai Oilbank Co. , Ltd. Shinsa Hyundai Gas Station ";1994-02-08;NA
"984";" Open / Normal ";" Seoul Metropolitan City Mapo-gu Daeheung-dong 337-30 ";" Seoul Mapo-gu 61 Daeheung- ro ( Daeheung-dong )";"( Sungseong Trading Co., Ltd. ) ";1994-02-08;NA
"985";" Open / Normal ";" Seoul Gangseo-gu Hwagok-dong 1076-14 ";" Seoul Gangseo-gu 154 Gangseo-ro ( Hwagok-dong )";" Hwagok Station Gas Station ";1994-02-08;NA
"986";" Open / Normal ";" Seoul Seongdong-gu Seongsu-dong 2- ga 289-2 ";" Seoul Seongdong-gu 254 Gwangnaru-ro ( Seongsu-dong 2- ga )";" Hyeopjin Oil Industry Co. , Ltd. Dongil Gas Station ";1994-02-14;NA
"987";" Closed ";" Seoul Metropolitan City Gwangjin-gu 470-3 Gwangjang-dong ";" Seoul Gwangjin-gu Acha Mountain Road 502 ( Gwangjang-dong )";" Olympic Gas Station ";1994-02-14;NA
"988";" Open / Normal ";" Seoul Dongdaemun-gu Hwigyeong-dong 43-79";" Seoul Dongdaemun-gu 263 Hancheon-ro ( Hwigyeong-dong )";" Open Gas Station ";1994-02-21;NA
"989";" Open / Normal ";" Seoul Eunpyeong-gu Jeungsan-dong 222-6";" Seoul Eunpyeong-gu 188 Susaek-ro ( Jeungsan-dong )";" Tiger Gas Station ";1994-02-22;NA
"990";" Closed ";" Seoul Metropolitan City Gwanak-gu Bongcheon-dong 947-12 ";" Seoul Gwanak-gu 1696 Nambusunhwan-ro ( Bongcheon-dong )";" Samjin gas station ";1994-02-24;"20120302"
"991";" Open / Normal ";" Seoul Metropolitan City Jongno-gu Pyeongchang-dong 80-1";" Seoul Jongno-gu 135 Pyeongchangmunhwa- ro ( Pyeongchang-dong )";" GS E&R Co. , Ltd. Pyeongchang Gas Station ";1994-02-24;NA
"992";" Closed ";" Seoul Metropolitan City Gangnam-gu Nonhyeon-dong 198-10 ";" Seoul Gangnam-gu 20 Gangnam-daero 114- gil ( Nonhyeon-dong )";" Sambang Petroleum ";1994-02-26;NA
"993";" Closed ";" Seoul Metropolitan City Seongdong-gu Yongdap-dong 118-9 ";" Seoul Seongdong-gu 254 Cheonho-daero ( Yongdap- dong )";" Shin Dong-il Gas station ";1994-02-28;"20140522"
"994";" Closed ";" Seoul Metropolitan City Gangnam-gu Cheongdam-dong 131-17 ";" Seoul Gangnam-gu 726 Yeongdong- daero ( Cheongdam-dong )";"SK Networks Co. , Ltd. Autojoy Gas Station ";1994-02-28;"20130327"
"995";" Open / Normal ";" Seoul Seongdong-gu Doseon-dong 2-4";" Seoul Seongdong-gu Gosanja-ro 273 ( Doseon-dong )";" Icon Gas Station ";1994-02-28;NA
"996";" Open / Normal ";" Seoul Gangseo-gu Hwagok-dong 785-2";" Seoul Gangseo-gu 251 Gukhoe-daero ( Hwagok-dong )";" Mokhwa Gas Station ";1994-03-02;NA
"997";" Open / Normal ";" Seoul Gangnam-gu Daechi-dong 994";" Seoul Gangnam-gu 235 Yeongdong- daero ( Daechi-dong )";" Eunma Gas Station ";1994-03-04;NA
"998";" Closed ";" Seoul Metropolitan City Seocho-gu Bangbae-dong 490-1 ";" Seoul Seocho-gu 2221 Nambusunhwan-ro ( Bangbae-dong )";" Maggogae Gas Station ";1994-03-04;"20120831"
"999";" Closed ";" Seoul Metropolitan City Guro-gu 69-27 Gocheok-dong ";NA;" Haedeok Gangup Co. , Ltd. Sunjin Gas Station ";1994-03-12;NA
"1000";" Closed ";" Seoul Metropolitan City Seongdong-gu Yongdap-dong 5-4 ";" Seoul Seongdong-gu Cheonho-daero 324 ( Yongdap-dong )";" alumni gas station ";1994-03-14;NA
"1001";" Operating / normal ";" Seoul Geumcheon-gu 150-6 Doksan-dong ( 244 Siheung-daero ) ";" Seoul Geumcheon-gu 441 Siheung-daero ( Doksan-dong )";"SK Energy Co., Ltd. Iga Gas Station ";1994-03-18;NA
"1002";" Closed ";" Seoul Metropolitan City Jongno-gu Ihwa-dong 9-333 ";NA;" Chungnam Petroleum ";1994-03-25;NA
"1003";" Closed ";" Seoul Metropolitan City Seodaemun-gu 186-8 Namgajwa-dong ";NA;" Third Energy ";1994-03-28;NA
"1004";" Closed ";" Seoul Metropolitan City Yeongdeungpo-gu Singil-dong 433-75 ";" Seoul Yeongdeungpo-gu 236 Dorim-ro ( Singil-dong )";" Hana Gas Station ";1994-03-31;"20190107"
"1005";" Open / normal ";" Seoul Seongdong-gu Songjeong-dong 83-3 ";" Seoul Seongdong-gu 249 Dongil -ro ( Songjeong-dong )";"KLP 2nd Gas Station " ;1994-04-01;NA
"1006";" Closed ";" Seoul Metropolitan City Seongdong-gu Sangwangsimni-dong 16-13 ";NA;" GS Caltex Direct Management Seongdong ( Saeona ) Branch ";1994-04-01;"20091116"
"1007";" Closed ";" Seoul Metropolitan City Mapo-gu Room 20 , Building 402 , Changjeon- dong ";NA;" Seshin Petroleum ";1994-04-04;NA
"1008";" Closed ";" Seoul Metropolitan City Seongdong-gu Yongdap-dong 69-2 ";" Seoul Seongdong-gu 298 Cheonho-daero ( Yongdap- dong )";" Orim Gas Station ";1994-04-08;"20110829"
"1009";" Open / Normal ";" Seoul Seongdong-gu Seongsu-dong 1- ga 283 ";" Seoul Seongdong-gu 5-5 Seongdeokjeong 11- gil ( Seongsu-dong 1- ga )";" Geum Energy ";1994-04-11;NA
"1010";" Open / Normal ";" Seoul Yeongdeungpo-gu Daerim-dong 776-3";" Seoul Yeongdeungpo-gu 328 Gamasan-ro ( Daerim-dong )";" Daecheong Energy Co., Ltd . ";1994-04-11;NA
"1011";" Closed ";" Seoul Metropolitan City Yeongdeungpo-gu Daerim-dong 778-44 ";NA;" Donga Gas Station ";1994-04-11;"20170615"
"1012";" Closed ";" Seoul Metropolitan City Yeongdeungpo-gu 776-3 Daerim-dong ";NA;"SK Global Co., Ltd. Daecheong Gas Station ";1994-04-11;NA
"1013";" Closed ";" Seoul Metropolitan City Gangnam-gu Yeoksam-dong 654-4 ";" Seoul Gangnam-gu 559 Eonju-ro ( Yeoksam -dong )";" City Global Co. , Ltd. ";1994-04-11;"20180309"
"1014";" Closed ";" Seoul Metropolitan City Jung-gu 70-19 Yegwan-dong ";" Seoul Jung-gu 23 Toegye-ro 45- gil ( Yegwan-dong )";" Seoul Petrochemical ";1994-04-20;"20170705"
"1015";" Open / Normal ";" Seoul Yeongdeungpo-gu Yangpyeong-dong 4 -ga 159-1";" Seoul Yeongdeungpo-gu 270 Seonyu-ro ( Yangpyeong-dong 4 -ga )";"SK Energy Co. , Ltd. Kirin Gas Station ";1994-04-23;NA
"1016";" Closed ";" Seoul Metropolitan City Yeongdeungpo-gu Yangpyeong-dong 4 -ga 159-1 ";NA;" Kirin Energy ";1994-04-23;NA
